Destination,Destination Port,Label,UNKNOWN,smtp,ssh,web
131.100.110.99,80,web,13.0,,,474.0
131.107.75.34,80,web,,1.0,,5.0
131.15.144.52,80,web,,,,45.0
131.15.144.58,80,web,,,,11.0
131.22.200.40,80,web,,,,40.0
131.249.3.59,80,web,,,,19.0
131.37.128.61,80,web,,,,1.0
131.38.122.67,80,web,,,,19.0
131.38.125.40,80,web,,,,56.0
131.44.104.200,80,web,1.0,,,134.0
131.44.48.31,80,web,4.0,,,80.0
131.44.51.66,80,web,1.0,,,20.0
131.44.72.75,80,web,1.0,,,22.0
131.44.85.7,80,web,1.0,,,2.0
131.45.16.140,80,web,,,,39.0
131.45.16.9,80,web,,,,6.0
131.47.167.90,80,web,,,,35.0
131.54.133.238,80,web,,,,8.0
131.55.137.50,80,web,,,,168.0
131.6.187.12,80,web,,,,7.0
131.6.187.206,80,web,,,,26.0
131.6.84.5,80,web,,,,287.0
131.66.1.233,80,web,,,,159.0
131.68.6.131,80,web,,,,12.0
131.84.1.31,80,web,10.0,1.0,,3221.0
131.84.1.34,80,web,2.0,41.0,,733.0
131.84.1.39,80,web,,,,32.0
131.84.1.51,80,web,,,,3.0
131.84.1.60,80,web,,,,139.0
131.84.1.68,80,web,,,,259.0
132.19.87.13,80,web,6.0,,,352.0
132.24.126.14,80,web,,,,18.0
132.25.1.25,80,web,,,,403.0
132.26.17.20,80,web,,1.0,,254.0
132.32.201.10,80,web,,,,5.0
132.32.201.7,80,web,,,,7.0
132.34.187.45,80,web,,,,86.0
132.52.128.21,80,web,,,,86.0
132.56.128.111,80,web,,,,8.0
132.60.128.15,80,web,,,,48.0
132.60.128.81,80,web,,,,15.0
132.60.128.82,80,web,,,,7.0
132.60.168.152,80,web,,,,112.0
132.60.56.5,80,web,2.0,,,30.0
132.80.207.6,80,web,,,,99.0
132.80.207.7,80,web,,,,2.0
134.11.7.5,80,web,,,,4.0
134.129.201.30,80,web,,,,6.0
134.129.201.31,80,web,,,,53.0
134.131.147.160,80,web,,,,586.0
134.131.147.170,80,web,,,,36.0
134.136.216.13,80,web,,,1.0,168.0
134.152.105.93,80,web,,,,21.0
134.152.108.50,80,web,,,,42.0
134.152.118.246,80,web,,,,110.0
134.152.25.12,80,web,1.0,,,524.0
134.152.25.28,80,web,,,,4.0
134.177.3.28,80,web,,,,19.0
134.177.3.35,80,web,,,,1101.0
134.205.131.13,80,web,,,,378.0
134.205.131.20,80,web,2.0,,,4.0
134.205.131.21,80,web,,,,46.0
134.205.131.26,80,web,,,,200.0
134.205.131.29,80,web,1.0,,,27.0
134.205.131.41,80,web,,,,233.0
134.205.131.47,80,web,,,,52.0
134.205.131.49,80,web,,,,36.0
134.205.131.65,80,web,,,,331.0
134.205.131.67,80,web,,,,6.0
134.205.165.120,80,web,21.0,3.0,1.0,2590.0
134.205.165.122,80,web,1.0,,,43.0
134.50.5.64,80,web,,,,32.0
134.67.99.15,80,web,,,,65.0
135.13.216.191,23,ssh,,15.0,26.0,
135.13.216.191,25,smtp,37.0,879.0,,178.0
135.13.216.191,79,UNKNOWN,,36.0,,100.0
135.13.216.191,110,UNKNOWN,,1.0,,
135.13.216.191,113,UNKNOWN,,,,13.0
135.13.216.191,1623,UNKNOWN,1.0,,,
135.13.216.191,1624,UNKNOWN,1.0,,,
135.13.216.191,1685,UNKNOWN,1.0,,,
135.13.216.191,1686,UNKNOWN,1.0,,,
135.13.216.191,2068,UNKNOWN,1.0,,,
135.13.216.191,2072,UNKNOWN,1.0,,,
135.13.216.191,2074,UNKNOWN,1.0,,,
135.13.216.191,2075,UNKNOWN,1.0,,,
135.13.216.191,2330,UNKNOWN,1.0,,,
135.13.216.191,2371,UNKNOWN,1.0,,,
135.13.216.191,2378,UNKNOWN,1.0,,,
135.13.216.191,2441,UNKNOWN,1.0,,,
135.13.216.191,2591,UNKNOWN,1.0,,,
135.13.216.191,2592,UNKNOWN,1.0,,,
135.13.216.191,2594,UNKNOWN,1.0,,,
135.13.216.191,2604,UNKNOWN,1.0,,,
135.13.216.191,2605,UNKNOWN,1.0,,,
135.13.216.191,2606,UNKNOWN,1.0,,,
135.13.216.191,2607,UNKNOWN,1.0,,,
135.13.216.191,2608,UNKNOWN,1.0,,,
135.13.216.191,2610,UNKNOWN,1.0,,,
135.13.216.191,2611,UNKNOWN,1.0,,,
135.13.216.191,2612,UNKNOWN,1.0,,,
135.13.216.191,2613,UNKNOWN,1.0,,,
135.13.216.191,2614,UNKNOWN,1.0,,,
135.13.216.191,2672,UNKNOWN,1.0,,,
135.13.216.191,2674,UNKNOWN,1.0,,,
135.13.216.191,2675,UNKNOWN,2.0,,,
135.13.216.191,2676,UNKNOWN,1.0,,,1.0
135.13.216.191,2677,UNKNOWN,2.0,,,
135.13.216.191,2678,UNKNOWN,1.0,,,
135.13.216.191,2737,UNKNOWN,1.0,,,
135.13.216.191,2795,UNKNOWN,1.0,,,
135.13.216.191,2796,UNKNOWN,1.0,,,
135.13.216.191,2797,UNKNOWN,1.0,,,
135.13.216.191,2798,UNKNOWN,1.0,,,
135.13.216.191,2802,UNKNOWN,1.0,,,
135.13.216.191,2865,UNKNOWN,1.0,,,
135.13.216.191,2866,UNKNOWN,1.0,,,
135.13.216.191,2929,UNKNOWN,1.0,,,
135.13.216.191,2930,UNKNOWN,1.0,,,
135.13.216.191,2992,UNKNOWN,1.0,,,
135.13.216.191,3007,UNKNOWN,1.0,,,
135.13.216.191,3023,UNKNOWN,1.0,,,
135.13.216.191,3039,UNKNOWN,1.0,,,
135.13.216.191,3054,UNKNOWN,1.0,,,
135.13.216.191,3106,UNKNOWN,1.0,,,
135.13.216.191,3107,UNKNOWN,,,,1.0
135.13.216.191,3108,UNKNOWN,1.0,,,
135.13.216.191,3778,UNKNOWN,1.0,,,
135.13.216.191,3841,UNKNOWN,1.0,,,
135.13.216.191,3845,UNKNOWN,1.0,,,
135.13.216.191,3905,UNKNOWN,1.0,,,
135.13.216.191,3909,UNKNOWN,1.0,,,
135.13.216.191,3968,UNKNOWN,1.0,,,
135.13.216.191,3972,UNKNOWN,1.0,,,
135.13.216.191,4036,UNKNOWN,1.0,,,
135.13.216.191,4107,UNKNOWN,1.0,,,
135.13.216.191,4112,UNKNOWN,1.0,,,
135.13.216.191,4115,UNKNOWN,1.0,,,
135.13.216.191,4116,UNKNOWN,1.0,,,
135.13.216.191,4118,UNKNOWN,1.0,,,
135.13.216.191,4120,UNKNOWN,1.0,,,
135.13.216.191,4129,UNKNOWN,1.0,,,
135.13.216.191,4130,UNKNOWN,1.0,,,
135.13.216.191,4131,UNKNOWN,1.0,,,
135.13.216.191,4132,UNKNOWN,1.0,,,
135.13.216.191,4136,UNKNOWN,1.0,,,
135.13.216.191,4139,UNKNOWN,1.0,,,
135.13.216.191,4140,UNKNOWN,1.0,,,
135.13.216.191,4145,UNKNOWN,1.0,,,
135.13.216.191,4148,UNKNOWN,1.0,,,
135.13.216.191,4152,UNKNOWN,1.0,,,
135.13.216.191,4154,UNKNOWN,1.0,,,
135.13.216.191,4155,UNKNOWN,1.0,,,
135.13.216.191,4156,UNKNOWN,1.0,,,
135.13.216.191,4157,UNKNOWN,1.0,,,
135.13.216.191,4160,UNKNOWN,1.0,,,
135.13.216.191,4161,UNKNOWN,1.0,,,
135.13.216.191,4162,UNKNOWN,1.0,,,
135.13.216.191,4164,UNKNOWN,1.0,,,
135.13.216.191,4166,UNKNOWN,1.0,,,
135.13.216.191,4168,UNKNOWN,1.0,,,
135.13.216.191,4170,UNKNOWN,1.0,,,
135.13.216.191,4171,UNKNOWN,1.0,,,
135.13.216.191,4175,UNKNOWN,1.0,,,
135.13.216.191,4176,UNKNOWN,1.0,,,
135.13.216.191,4178,UNKNOWN,2.0,,,
135.13.216.191,4179,UNKNOWN,1.0,,,
135.13.216.191,4180,UNKNOWN,1.0,,,
135.13.216.191,4182,UNKNOWN,1.0,,,
135.13.216.191,4186,UNKNOWN,1.0,,,
135.13.216.191,4187,UNKNOWN,1.0,,,
135.13.216.191,4188,UNKNOWN,1.0,,,
135.13.216.191,4189,UNKNOWN,1.0,,,
135.13.216.191,4190,UNKNOWN,1.0,,,
135.13.216.191,4191,UNKNOWN,1.0,,,
135.13.216.191,4192,UNKNOWN,1.0,,,
135.13.216.191,4195,UNKNOWN,1.0,,,
135.13.216.191,4196,UNKNOWN,1.0,,,
135.13.216.191,4202,UNKNOWN,1.0,,,
135.13.216.191,4203,UNKNOWN,1.0,,,
135.13.216.191,4204,UNKNOWN,1.0,,,
135.13.216.191,4209,UNKNOWN,1.0,,,
135.13.216.191,4212,UNKNOWN,1.0,,,
135.13.216.191,4216,UNKNOWN,2.0,,,
135.13.216.191,4218,UNKNOWN,2.0,,,
135.13.216.191,4219,UNKNOWN,2.0,,,
135.13.216.191,4220,UNKNOWN,2.0,,,
135.13.216.191,4221,UNKNOWN,2.0,,,
135.13.216.191,4223,UNKNOWN,1.0,,,
135.13.216.191,4227,UNKNOWN,1.0,,,
135.13.216.191,4231,UNKNOWN,1.0,,,
135.13.216.191,4232,UNKNOWN,1.0,,,
135.13.216.191,4233,UNKNOWN,1.0,,,
135.13.216.191,4600,UNKNOWN,1.0,,,
135.13.216.191,4601,UNKNOWN,1.0,,,
135.13.216.191,4670,UNKNOWN,1.0,,,
135.13.216.191,4671,UNKNOWN,1.0,,,
135.13.216.191,4672,UNKNOWN,1.0,,,
135.13.216.191,4674,UNKNOWN,1.0,,,
135.13.216.191,4675,UNKNOWN,1.0,,,
135.13.216.191,5321,UNKNOWN,1.0,,,
135.13.216.191,5327,UNKNOWN,1.0,,,
135.13.216.191,5328,UNKNOWN,1.0,,,
135.13.216.191,5329,UNKNOWN,1.0,,,
135.13.216.191,6172,UNKNOWN,1.0,,,
135.13.216.191,6175,UNKNOWN,1.0,,,
135.13.216.191,6177,UNKNOWN,1.0,,,
135.13.216.191,6180,UNKNOWN,1.0,,,
135.13.216.191,6184,UNKNOWN,1.0,,,
135.13.216.191,6186,UNKNOWN,1.0,,,
135.13.216.191,7360,UNKNOWN,1.0,,,
135.13.216.191,7427,UNKNOWN,1.0,,,
135.13.216.191,7428,UNKNOWN,1.0,,,
135.13.216.191,7429,UNKNOWN,1.0,,,
135.13.216.191,8377,UNKNOWN,1.0,,,
135.13.216.191,8381,UNKNOWN,1.0,,,
135.13.216.191,8382,UNKNOWN,1.0,,,
135.13.216.191,8383,UNKNOWN,1.0,,,
135.13.216.191,8473,UNKNOWN,1.0,,,
135.13.216.191,8474,UNKNOWN,1.0,,,
135.13.216.191,8537,UNKNOWN,1.0,1.0,,
135.13.216.191,8538,UNKNOWN,1.0,,,
135.13.216.191,8600,UNKNOWN,2.0,,,
135.13.216.191,8664,UNKNOWN,,,,1.0
135.13.216.191,8735,UNKNOWN,2.0,,,
135.13.216.191,8932,UNKNOWN,1.0,,,
135.13.216.191,8933,UNKNOWN,1.0,,,
135.13.216.191,8993,UNKNOWN,1.0,,,
135.13.216.191,9065,UNKNOWN,1.0,,,
135.13.216.191,9128,UNKNOWN,2.0,,,
135.13.216.191,9165,UNKNOWN,1.0,,,
135.13.216.191,9192,UNKNOWN,2.0,,,
135.13.216.191,9257,UNKNOWN,2.0,,,
135.13.216.191,9262,UNKNOWN,1.0,,,
135.13.216.191,9266,UNKNOWN,1.0,,,
135.13.216.191,9267,UNKNOWN,1.0,,,
135.13.216.191,9393,UNKNOWN,1.0,,,
135.13.216.191,9394,UNKNOWN,1.0,,,
135.13.216.191,9742,UNKNOWN,1.0,,,
135.13.216.191,9774,UNKNOWN,1.0,,,
135.13.216.191,9832,UNKNOWN,1.0,,,
135.13.216.191,9893,UNKNOWN,1.0,,,
135.13.216.191,9894,UNKNOWN,1.0,,,
135.13.216.191,9895,UNKNOWN,1.0,,,
135.13.216.191,9941,UNKNOWN,1.0,,,
135.13.216.191,9942,UNKNOWN,1.0,,,
135.13.216.191,9943,UNKNOWN,1.0,,,
135.13.216.191,9957,UNKNOWN,1.0,,,
135.13.216.191,9958,UNKNOWN,1.0,,,
135.13.216.191,9959,UNKNOWN,1.0,,,
135.13.216.191,10022,UNKNOWN,1.0,,,
135.13.216.191,10023,UNKNOWN,1.0,,,
135.13.216.191,10068,UNKNOWN,1.0,,,
135.13.216.191,10086,UNKNOWN,1.0,,,
135.13.216.191,10087,UNKNOWN,1.0,,,
135.13.216.191,10151,UNKNOWN,1.0,,,
135.13.216.191,10214,UNKNOWN,,,,1.0
135.13.216.191,10215,UNKNOWN,1.0,,,
135.13.216.191,10358,UNKNOWN,1.0,,,
135.13.216.191,10359,UNKNOWN,1.0,,,
135.13.216.191,10360,UNKNOWN,1.0,,,
135.13.216.191,10362,UNKNOWN,1.0,,,
135.13.216.191,10783,UNKNOWN,1.0,,,
135.13.216.191,10784,UNKNOWN,1.0,,,
135.13.216.191,10786,UNKNOWN,1.0,,,
135.13.216.191,10796,UNKNOWN,1.0,,,
135.13.216.191,10797,UNKNOWN,1.0,,,
135.13.216.191,10798,UNKNOWN,1.0,,,
135.13.216.191,10856,UNKNOWN,1.0,,,
135.13.216.191,10857,UNKNOWN,1.0,,,
135.13.216.191,10858,UNKNOWN,1.0,,,
135.13.216.191,10859,UNKNOWN,1.0,,,
135.13.216.191,10860,UNKNOWN,1.0,,,
135.13.216.191,10861,UNKNOWN,1.0,,,
135.13.216.191,10862,UNKNOWN,1.0,,,
135.13.216.191,10921,UNKNOWN,1.0,,,
135.13.216.191,10922,UNKNOWN,1.0,,,
135.13.216.191,10923,UNKNOWN,1.0,,,
135.13.216.191,10924,UNKNOWN,1.0,,,
135.13.216.191,10925,UNKNOWN,,,,1.0
135.13.216.191,10985,UNKNOWN,1.0,,,
135.13.216.191,11630,UNKNOWN,1.0,,,
135.13.216.191,11693,UNKNOWN,,1.0,,
135.13.216.191,11757,UNKNOWN,1.0,,,
135.13.216.191,11818,UNKNOWN,1.0,,,
135.13.216.191,11876,UNKNOWN,1.0,,,
135.13.216.191,11887,UNKNOWN,1.0,,,
135.13.216.191,11950,UNKNOWN,1.0,,,
135.13.216.191,12014,UNKNOWN,1.0,,,
135.13.216.191,12077,UNKNOWN,1.0,,,
135.13.216.191,12141,UNKNOWN,1.0,,,
135.13.216.191,12204,UNKNOWN,1.0,,,
135.13.216.191,12268,UNKNOWN,1.0,,,
135.13.216.191,12307,UNKNOWN,1.0,,,
135.13.216.191,12308,UNKNOWN,1.0,,,
135.13.216.191,12310,UNKNOWN,1.0,,,
135.13.216.191,12312,UNKNOWN,1.0,,,
135.13.216.191,12313,UNKNOWN,1.0,,,
135.13.216.191,12314,UNKNOWN,1.0,,,
135.13.216.191,12315,UNKNOWN,1.0,,,
135.13.216.191,12316,UNKNOWN,1.0,,,
135.13.216.191,12318,UNKNOWN,1.0,,,
135.13.216.191,12319,UNKNOWN,1.0,,,
135.13.216.191,12320,UNKNOWN,1.0,,,
135.13.216.191,13394,UNKNOWN,1.0,,,
135.13.216.191,13397,UNKNOWN,1.0,,,
135.13.216.191,13398,UNKNOWN,1.0,,,
135.13.216.191,13399,UNKNOWN,1.0,,,
135.13.216.191,13433,UNKNOWN,1.0,,,
135.13.216.191,13436,UNKNOWN,1.0,,,
135.13.216.191,13463,UNKNOWN,1.0,,,
135.13.216.191,13466,UNKNOWN,1.0,,,
135.13.216.191,13489,UNKNOWN,1.0,,,
135.13.216.191,13493,UNKNOWN,1.0,,,
135.13.216.191,13530,UNKNOWN,1.0,,,
135.13.216.191,13594,UNKNOWN,1.0,,,
135.13.216.191,13598,UNKNOWN,1.0,,,
135.13.216.191,14208,UNKNOWN,1.0,,,
135.13.216.191,14272,UNKNOWN,1.0,,,
135.13.216.191,14324,UNKNOWN,1.0,,,
135.13.216.191,14367,UNKNOWN,1.0,,,
135.13.216.191,14372,UNKNOWN,1.0,,,
135.13.216.191,14378,UNKNOWN,1.0,,,
135.13.216.191,14379,UNKNOWN,2.0,,,
135.13.216.191,14380,UNKNOWN,1.0,,,
135.13.216.191,14383,UNKNOWN,2.0,,,
135.13.216.191,14384,UNKNOWN,2.0,,,
135.13.216.191,14385,UNKNOWN,2.0,,,
135.13.216.191,14386,UNKNOWN,1.0,1.0,,
135.13.216.191,14387,UNKNOWN,2.0,,,
135.13.216.191,14388,UNKNOWN,2.0,,,
135.13.216.191,14392,UNKNOWN,2.0,,,
135.13.216.191,14394,UNKNOWN,2.0,,,
135.13.216.191,14395,UNKNOWN,2.0,,,
135.13.216.191,14396,UNKNOWN,1.0,,,1.0
135.13.216.191,14436,UNKNOWN,1.0,1.0,,
135.13.216.191,14440,UNKNOWN,1.0,,,
135.13.216.191,14840,UNKNOWN,1.0,,,
135.13.216.191,14911,UNKNOWN,1.0,,,
135.13.216.191,14925,UNKNOWN,1.0,,,
135.13.216.191,14926,UNKNOWN,1.0,,,
135.13.216.191,14985,UNKNOWN,1.0,,,
135.13.216.191,15029,UNKNOWN,1.0,,,
135.13.216.191,15031,UNKNOWN,1.0,,,
135.13.216.191,15073,UNKNOWN,1.0,,,
135.13.216.191,15085,UNKNOWN,1.0,,,
135.13.216.191,15086,UNKNOWN,1.0,,,
135.13.216.191,15087,UNKNOWN,1.0,,,
135.13.216.191,15101,UNKNOWN,1.0,,,
135.13.216.191,15102,UNKNOWN,,,,1.0
135.13.216.191,15162,UNKNOWN,1.0,,,
135.13.216.191,15384,UNKNOWN,1.0,,,
135.13.216.191,15386,UNKNOWN,1.0,,,
135.13.216.191,15388,UNKNOWN,1.0,,,
135.13.216.191,15390,UNKNOWN,1.0,,,
135.13.216.191,16153,UNKNOWN,1.0,,,
135.13.216.191,16166,UNKNOWN,1.0,,,
135.13.216.191,16217,UNKNOWN,1.0,,,
135.13.216.191,16229,UNKNOWN,1.0,,,
135.13.216.191,16230,UNKNOWN,1.0,,,
135.13.216.191,16280,UNKNOWN,1.0,,,
135.13.216.191,16292,UNKNOWN,1.0,,,
135.13.216.191,16344,UNKNOWN,1.0,,,
135.13.216.191,16356,UNKNOWN,1.0,,,
135.13.216.191,16412,UNKNOWN,1.0,,,
135.13.216.191,16424,UNKNOWN,1.0,,,
135.13.216.191,16425,UNKNOWN,1.0,,,
135.13.216.191,16426,UNKNOWN,1.0,,,
135.13.216.191,16427,UNKNOWN,1.0,,,
135.13.216.191,16428,UNKNOWN,1.0,,,
135.13.216.191,16431,UNKNOWN,1.0,,,
135.13.216.191,16432,UNKNOWN,1.0,,,
135.13.216.191,16434,UNKNOWN,1.0,,,
135.13.216.191,16435,UNKNOWN,1.0,,,
135.13.216.191,16436,UNKNOWN,1.0,,,
135.13.216.191,16438,UNKNOWN,1.0,,,
135.13.216.191,16440,UNKNOWN,1.0,,,
135.13.216.191,17455,UNKNOWN,1.0,,,
135.13.216.191,17458,UNKNOWN,1.0,,,
135.13.216.191,17460,UNKNOWN,1.0,,,
135.13.216.191,17461,UNKNOWN,1.0,,,
135.13.216.191,17617,UNKNOWN,1.0,,,
135.13.216.191,17618,UNKNOWN,1.0,,,
135.13.216.191,17619,UNKNOWN,1.0,,,
135.13.216.191,17620,UNKNOWN,1.0,,,
135.13.216.191,17746,UNKNOWN,1.0,,,
135.13.216.191,17809,UNKNOWN,1.0,,,
135.13.216.191,18004,UNKNOWN,1.0,,,
135.13.216.191,18065,UNKNOWN,1.0,,,
135.13.216.191,18066,UNKNOWN,1.0,,,
135.13.216.191,18130,UNKNOWN,1.0,,,
135.13.216.191,18194,UNKNOWN,1.0,,,
135.13.216.191,18195,UNKNOWN,1.0,,,
135.13.216.191,18258,UNKNOWN,,,,1.0
135.13.216.191,18516,UNKNOWN,1.0,,,
135.13.216.191,18520,UNKNOWN,1.0,,,
135.13.216.191,18522,UNKNOWN,1.0,,,
135.13.216.191,18523,UNKNOWN,1.0,,,
135.13.216.191,19682,UNKNOWN,1.0,,,
135.13.216.191,19683,UNKNOWN,1.0,,,
135.13.216.191,19685,UNKNOWN,1.0,,,
135.13.216.191,19686,UNKNOWN,1.0,,,
135.13.216.191,19749,UNKNOWN,1.0,,,
135.13.216.191,19750,UNKNOWN,1.0,,,
135.13.216.191,20551,UNKNOWN,1.0,,,
135.13.216.191,20552,UNKNOWN,1.0,,,
135.13.216.191,20553,UNKNOWN,,1.0,,
135.13.216.191,20554,UNKNOWN,1.0,,,
135.13.216.191,20556,UNKNOWN,1.0,,,
135.13.216.191,20559,UNKNOWN,,1.0,,
135.13.216.191,20560,UNKNOWN,1.0,,,
135.13.216.191,20563,UNKNOWN,1.0,,,
135.13.216.191,20564,UNKNOWN,1.0,,,
135.13.216.191,20566,UNKNOWN,1.0,,,
135.13.216.191,20568,UNKNOWN,1.0,,,
135.13.216.191,20570,UNKNOWN,1.0,,,
135.13.216.191,20572,UNKNOWN,1.0,,,
135.13.216.191,20574,UNKNOWN,1.0,,,
135.13.216.191,20586,UNKNOWN,1.0,,,
135.13.216.191,20587,UNKNOWN,1.0,,,
135.13.216.191,20588,UNKNOWN,1.0,,,
135.13.216.191,20600,UNKNOWN,1.0,,,
135.13.216.191,20602,UNKNOWN,1.0,,,
135.13.216.191,24619,UNKNOWN,1.0,,,
135.13.216.191,24620,UNKNOWN,2.0,,,
135.13.216.191,24623,UNKNOWN,1.0,,,
135.13.216.191,24624,UNKNOWN,1.0,,,
135.13.216.191,24630,UNKNOWN,1.0,,,
135.13.216.191,24633,UNKNOWN,1.0,,,
135.13.216.191,24638,UNKNOWN,1.0,,,
135.13.216.191,24639,UNKNOWN,1.0,,,
135.13.216.191,24640,UNKNOWN,1.0,,,
135.13.216.191,24641,UNKNOWN,2.0,,,
135.13.216.191,24697,UNKNOWN,1.0,,,
135.13.216.191,24698,UNKNOWN,,1.0,,
135.13.216.191,24699,UNKNOWN,,1.0,,
135.13.216.191,24700,UNKNOWN,1.0,,,
135.13.216.191,24701,UNKNOWN,1.0,,,
135.13.216.191,25134,UNKNOWN,1.0,,,
135.13.216.191,25197,UNKNOWN,1.0,,,
135.13.216.191,25198,UNKNOWN,,1.0,,
135.13.216.191,25204,UNKNOWN,1.0,,,
135.13.216.191,25206,UNKNOWN,1.0,,,
135.13.216.191,25207,UNKNOWN,1.0,,,
135.13.216.191,25209,UNKNOWN,1.0,,,
135.13.216.191,25210,UNKNOWN,1.0,,,
135.13.216.191,25211,UNKNOWN,1.0,,,
135.13.216.191,25212,UNKNOWN,1.0,,,
135.13.216.191,25213,UNKNOWN,1.0,,,
135.13.216.191,25215,UNKNOWN,1.0,,,
135.13.216.191,25231,UNKNOWN,1.0,,,
135.13.216.191,25245,UNKNOWN,1.0,,,
135.13.216.191,25305,UNKNOWN,1.0,,,
135.13.216.191,25317,UNKNOWN,1.0,,,
135.13.216.191,25376,UNKNOWN,1.0,,,
135.13.216.191,25377,UNKNOWN,1.0,,,
135.13.216.191,25440,UNKNOWN,1.0,,,
135.13.216.191,25858,UNKNOWN,1.0,,,
135.13.216.191,25862,UNKNOWN,1.0,,,
135.13.216.191,25874,UNKNOWN,1.0,,,
135.13.216.191,25936,UNKNOWN,1.0,,,
135.13.216.191,25937,UNKNOWN,1.0,,,
135.13.216.191,26575,UNKNOWN,1.0,,,
135.13.216.191,26576,UNKNOWN,1.0,,,
135.13.216.191,26639,UNKNOWN,1.0,,,
135.13.216.191,26942,UNKNOWN,1.0,,,
135.13.216.191,26976,UNKNOWN,1.0,,,
135.13.216.191,26982,UNKNOWN,1.0,,,
135.13.216.191,27045,UNKNOWN,1.0,,,
135.13.216.191,27109,UNKNOWN,1.0,,,
135.13.216.191,27170,UNKNOWN,1.0,,,
135.13.216.191,27182,UNKNOWN,1.0,,,
135.13.216.191,27279,UNKNOWN,,1.0,,
135.13.216.191,27293,UNKNOWN,,1.0,,
135.13.216.191,27394,UNKNOWN,1.0,,,
135.13.216.191,27404,UNKNOWN,1.0,,,
135.13.216.191,27466,UNKNOWN,1.0,,,
135.13.216.191,27655,UNKNOWN,1.0,,,
135.13.216.191,27712,UNKNOWN,1.0,,,
135.13.216.191,27717,UNKNOWN,1.0,,,
135.13.216.191,27719,UNKNOWN,,,,1.0
135.13.216.191,28754,UNKNOWN,1.0,,,
135.13.216.191,28756,UNKNOWN,1.0,,,
135.13.216.191,28758,UNKNOWN,1.0,,,
135.13.216.191,28762,UNKNOWN,1.0,,,
135.13.216.191,29251,UNKNOWN,1.0,,,
135.13.216.191,29252,UNKNOWN,1.0,,,
135.13.216.191,29253,UNKNOWN,1.0,,,
135.13.216.191,29254,UNKNOWN,1.0,,,
135.13.216.191,30469,UNKNOWN,1.0,,,
135.13.216.191,30533,UNKNOWN,1.0,,,
135.13.216.191,30596,UNKNOWN,1.0,,,
135.13.216.191,30660,UNKNOWN,1.0,,,
135.13.216.191,30747,UNKNOWN,1.0,,,
135.13.216.191,30784,UNKNOWN,1.0,,,
