no , model , rate
3 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.8697140863193248
3 , Evaluation Accuracy Rate of Compare DATA(RF): , 0.9953926653083904
3 , Evaluation Accuracy Rate of Compare DATA(DT): , 0.9952074458233006
3 , Evaluation Accuracy Rate of Compare DATA(Hybrid): , 0.7975087979255417
3 , Test Dataset Total Detection Rate(RF): , 0.9940476190476191
3 , Test Dataset Total Detection Rate(DT): , 0.9903273809523809
3 , Test Dataset Total Detection Rate(Hybrid): , 0.9903273809523809
3 , Test Dataset SSH Precision(RF): , 0.7586206896551724
3 , Test Dataset SSH Precision(DT): , 0.6388888888888888
3 , Test Dataset SSH Precision(Hybrid): , 0.6388888888888888
3 , Test Dataset SSH Recall(RF): , 0.9565217391304348
3 , Test Dataset SSH Recall(DT): , 1.0
3 , Test Dataset SSH Recall(Hybrid): , 1.0
3 , Test Dataset False Positive Rate of total detection(RF): , 0.005299015897047691
3 , Test Dataset False Positive Rate of total detection(DT): , 0.00984102952308857
3 , Test Dataset False Positive Rate of total detection(Hybrid): , 0.00984102952308857
3 , Test Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.04347826086956519
3 , Evaluation Total Detection Rate(RF): , 0.9726651480637813
3 , Evaluation Total Detection Rate(DT): , 0.9669703872437357
3 , Evaluation Total Detection Rate(Hybrid): , 0.9669703872437357
3 , Evaluation SSH Precision(RF): , 0.4
3 , Evaluation SSH Precision(DT): , 0.35555555555555557
3 , Evaluation SSH Precision(Hybrid): , 0.35555555555555557
3 , Evaluation SSH Recall(RF): , 1.0
3 , Evaluation SSH Recall(DT): , 1.0
3 , Evaluation SSH Recall(Hybrid): , 1.0
3 , Evaluation False Positive Rate of total detection(RF): , 0.027842227378190254
3 , Evaluation False Positive Rate of total detection(DT): , 0.033642691415313224
3 , Evaluation False Positive Rate of total detection(Hybrid): , 0.033642691415313224
3 , Evaluation True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
4 , Random Forest Model Accuracy Rate (n=100): , 0.9995638235229974
4 , Decision Tree Model Accuracy Rate (depth=4): , 0.9992148823413953
4 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.8908686454539506
4 , Evaluation Accuracy Rate of Compare DATA(RF): , 0.9940961289127617
4 , Evaluation Accuracy Rate of Compare DATA(DT): , 0.9949759214669384
4 , Evaluation Accuracy Rate of Compare DATA(Hybrid): , 0.7679894424893499
4 , Test Dataset Total Detection Rate(RF): , 0.9969879518072289
4 , Test Dataset Total Detection Rate(DT): , 0.9909638554216867
4 , Test Dataset Total Detection Rate(Hybrid): , 0.9909638554216867
4 , Test Dataset SSH Precision(RF): , 0.84
4 , Test Dataset SSH Precision(DT): , 0.6363636363636364
4 , Test Dataset SSH Precision(Hybrid): , 0.6363636363636364
4 , Test Dataset SSH Recall(RF): , 1.0
4 , Test Dataset SSH Recall(DT): , 1.0
4 , Test Dataset SSH Recall(Hybrid): , 1.0
4 , Test Dataset False Positive Rate of total detection(RF): , 0.00306044376434583
4 , Test Dataset False Positive Rate of total detection(DT): , 0.009181331293037491
4 , Test Dataset False Positive Rate of total detection(Hybrid): , 0.009181331293037491
4 , Test Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
4 , Evaluation Total Detection Rate(RF): , 0.9760820045558086
4 , Evaluation Total Detection Rate(DT): , 0.9601366742596811
4 , Evaluation Total Detection Rate(Hybrid): , 0.9601366742596811
4 , Evaluation SSH Precision(RF): , 0.41935483870967744
4 , Evaluation SSH Precision(DT): , 0.3137254901960784
4 , Evaluation SSH Precision(Hybrid): , 0.3137254901960784
4 , Evaluation SSH Recall(RF): , 0.8125
4 , Evaluation SSH Recall(DT): , 1.0
4 , Evaluation SSH Recall(Hybrid): , 1.0
4 , Evaluation False Positive Rate of total detection(RF): , 0.02088167053364269
4 , Evaluation False Positive Rate of total detection(DT): , 0.04060324825986079
4 , Evaluation False Positive Rate of total detection(Hybrid): , 0.04060324825986079
4 , Evaluation True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.1875
5 , Random Forest Model Accuracy Rate (n=100): , 0.9996946764660982
5 , Decision Tree Model Accuracy Rate (depth=4): , 0.9993457352844961
5 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.877979630558524
5 , Evaluation Accuracy Rate of Compare DATA(RF): , 0.9939109094276718
5 , Evaluation Accuracy Rate of Compare DATA(DT): , 0.9949759214669384
5 , Evaluation Accuracy Rate of Compare DATA(Hybrid): , 0.7679894424893499
5 , Test Dataset Total Detection Rate(RF): , 0.9962264150943396
5 , Test Dataset Total Detection Rate(DT): , 0.9924528301886792
5 , Test Dataset Total Detection Rate(Hybrid): , 0.9924528301886792
5 , Test Dataset SSH Precision(RF): , 0.8214285714285714
5 , Test Dataset SSH Precision(DT): , 0.696969696969697
5 , Test Dataset SSH Precision(Hybrid): , 0.696969696969697
5 , Test Dataset SSH Recall(RF): , 1.0
5 , Test Dataset SSH Recall(DT): , 1.0
5 , Test Dataset SSH Recall(Hybrid): , 1.0
5 , Test Dataset False Positive Rate of total detection(RF): , 0.0038402457757296467
5 , Test Dataset False Positive Rate of total detection(DT): , 0.007680491551459293
5 , Test Dataset False Positive Rate of total detection(Hybrid): , 0.007680491551459293
5 , Test Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
5 , Evaluation Total Detection Rate(RF): , 0.9749430523917996
5 , Evaluation Total Detection Rate(DT): , 0.9601366742596811
5 , Evaluation Total Detection Rate(Hybrid): , 0.9601366742596811
5 , Evaluation SSH Precision(RF): , 0.4117647058823529
5 , Evaluation SSH Precision(DT): , 0.3137254901960784
5 , Evaluation SSH Precision(Hybrid): , 0.3137254901960784
5 , Evaluation SSH Recall(RF): , 0.875
5 , Evaluation SSH Recall(DT): , 1.0
5 , Evaluation SSH Recall(Hybrid): , 1.0
5 , Evaluation False Positive Rate of total detection(RF): , 0.02320185614849188
5 , Evaluation False Positive Rate of total detection(DT): , 0.04060324825986079
5 , Evaluation False Positive Rate of total detection(Hybrid): , 0.04060324825986079
5 , Evaluation True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.125
6 , Random Forest Model Accuracy Rate (n=100): , 0.9995856323468475
6 , Decision Tree Model Accuracy Rate (depth=4): , 0.9990840293982945
6 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.8147340413931476
6 , Evaluation Accuracy Rate of Compare DATA(RF): , 0.9942813483978514
6 , Evaluation Accuracy Rate of Compare DATA(DT): , 0.9950916836451195
6 , Evaluation Accuracy Rate of Compare DATA(Hybrid): , 0.7907482867197629
6 , Test Dataset Total Detection Rate(RF): , 0.9947722180731889
6 , Test Dataset Total Detection Rate(DT): , 0.9887976101568334
6 , Test Dataset Total Detection Rate(Hybrid): , 0.988050784167289
6 , Test Dataset SSH Precision(RF): , 0.7666666666666667
6 , Test Dataset SSH Precision(DT): , 0.6052631578947368
6 , Test Dataset SSH Precision(Hybrid): , 0.5897435897435898
6 , Test Dataset SSH Recall(RF): , 1.0
6 , Test Dataset SSH Recall(DT): , 1.0
6 , Test Dataset SSH Recall(Hybrid): , 1.0
6 , Test Dataset False Positive Rate of total detection(RF): , 0.005319148936170213
6 , Test Dataset False Positive Rate of total detection(DT): , 0.011398176291793313
6 , Test Dataset False Positive Rate of total detection(Hybrid): , 0.0121580547112462
6 , Test Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
6 , Evaluation Total Detection Rate(RF): , 0.9738041002277904
6 , Evaluation Total Detection Rate(DT): , 0.9646924829157175
6 , Evaluation Total Detection Rate(Hybrid): , 0.9646924829157175
6 , Evaluation SSH Precision(RF): , 0.40540540540540543
6 , Evaluation SSH Precision(DT): , 0.3404255319148936
6 , Evaluation SSH Precision(Hybrid): , 0.3404255319148936
6 , Evaluation SSH Recall(RF): , 0.9375
6 , Evaluation SSH Recall(DT): , 1.0
6 , Evaluation SSH Recall(Hybrid): , 1.0
6 , Evaluation False Positive Rate of total detection(RF): , 0.025522041763341066
6 , Evaluation False Positive Rate of total detection(DT): , 0.03596287703016241
6 , Evaluation False Positive Rate of total detection(Hybrid): , 0.03596287703016241
6 , Evaluation True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0625
7 , Random Forest Model Accuracy Rate (n=100): , 0.9995638235229974
7 , Decision Tree Model Accuracy Rate (depth=4): , 0.9991712646936951
7 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.8909776895732013
7 , Evaluation Accuracy Rate of Compare DATA(RF): , 0.9940035191702167
7 , Evaluation Accuracy Rate of Compare DATA(DT): , 0.9945823300611224
7 , Evaluation Accuracy Rate of Compare DATA(Hybrid): , 0.7546073346916096
7 , Test Dataset Total Detection Rate(RF): , 0.9954853273137697
7 , Test Dataset Total Detection Rate(DT): , 0.9902182091798345
7 , Test Dataset Total Detection Rate(Hybrid): , 0.9902182091798345
7 , Test Dataset SSH Precision(RF): , 0.8076923076923077
7 , Test Dataset SSH Precision(DT): , 0.6285714285714286
7 , Test Dataset SSH Precision(Hybrid): , 0.6285714285714286
7 , Test Dataset SSH Recall(RF): , 0.9545454545454546
7 , Test Dataset SSH Recall(DT): , 1.0
7 , Test Dataset SSH Recall(Hybrid): , 1.0
7 , Test Dataset False Positive Rate of total detection(RF): , 0.0038255547054322878
7 , Test Dataset False Positive Rate of total detection(DT): , 0.009946442234123947
7 , Test Dataset False Positive Rate of total detection(Hybrid): , 0.009946442234123947
7 , Test Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.045454545454545414
7 , Evaluation Total Detection Rate(RF): , 0.9760820045558086
7 , Evaluation Total Detection Rate(DT): , 0.9555808656036446
7 , Evaluation Total Detection Rate(Hybrid): , 0.9555808656036446
7 , Evaluation SSH Precision(RF): , 0.41935483870967744
7 , Evaluation SSH Precision(DT): , 0.2909090909090909
7 , Evaluation SSH Precision(Hybrid): , 0.2909090909090909
7 , Evaluation SSH Recall(RF): , 0.8125
7 , Evaluation SSH Recall(DT): , 1.0
7 , Evaluation SSH Recall(Hybrid): , 1.0
7 , Evaluation False Positive Rate of total detection(RF): , 0.02088167053364269
7 , Evaluation False Positive Rate of total detection(DT): , 0.04524361948955916
7 , Evaluation False Positive Rate of total detection(Hybrid): , 0.04524361948955916
7 , Evaluation True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.1875
8 , Random Forest Model Accuracy Rate (n=100): , 0.9996292499945478
8 , Decision Tree Model Accuracy Rate (depth=4): , 0.9991276470459948
8 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.8826685276863019
8 , Evaluation Accuracy Rate of Compare DATA(RF): , 0.9938646045563994
8 , Evaluation Accuracy Rate of Compare DATA(DT): , 0.9946286349323948
8 , Evaluation Accuracy Rate of Compare DATA(Hybrid): , 0.7568531209483238
8 , Test Dataset Total Detection Rate(RF): , 0.9954988747186797
8 , Test Dataset Total Detection Rate(DT): , 0.9909977494373593
8 , Test Dataset Total Detection Rate(Hybrid): , 0.9902475618904726
8 , Test Dataset SSH Precision(RF): , 0.8
8 , Test Dataset SSH Precision(DT): , 0.6666666666666666
8 , Test Dataset SSH Precision(Hybrid): , 0.6486486486486487
8 , Test Dataset SSH Recall(RF): , 1.0
8 , Test Dataset SSH Recall(DT): , 1.0
8 , Test Dataset SSH Recall(Hybrid): , 1.0
8 , Test Dataset False Positive Rate of total detection(RF): , 0.004583651642475172
8 , Test Dataset False Positive Rate of total detection(DT): , 0.009167303284950344
8 , Test Dataset False Positive Rate of total detection(Hybrid): , 0.009931245225362872
8 , Test Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
8 , Evaluation Total Detection Rate(RF): , 0.9738041002277904
8 , Evaluation Total Detection Rate(DT): , 0.9567198177676538
8 , Evaluation Total Detection Rate(Hybrid): , 0.9567198177676538
8 , Evaluation SSH Precision(RF): , 0.3939393939393939
8 , Evaluation SSH Precision(DT): , 0.2962962962962963
8 , Evaluation SSH Precision(Hybrid): , 0.2962962962962963
8 , Evaluation SSH Recall(RF): , 0.8125
8 , Evaluation SSH Recall(DT): , 1.0
8 , Evaluation SSH Recall(Hybrid): , 1.0
8 , Evaluation False Positive Rate of total detection(RF): , 0.02320185614849188
8 , Evaluation False Positive Rate of total detection(DT): , 0.04408352668213457
8 , Evaluation False Positive Rate of total detection(Hybrid): , 0.04408352668213457
8 , Evaluation True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.1875
9 , Random Forest Model Accuracy Rate (n=100): , 0.999498397051447
9 , Decision Tree Model Accuracy Rate (depth=4): , 0.9989749852790439
9 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.8506095566266111
9 , Evaluation Accuracy Rate of Compare DATA(RF): , 0.9953695128727542
9 , Evaluation Accuracy Rate of Compare DATA(DT): , 0.9950685312094832
9 , Evaluation Accuracy Rate of Compare DATA(Hybrid): , 0.7319179477681053
9 , Test Dataset Total Detection Rate(RF): , 0.994776119402985
9 , Test Dataset Total Detection Rate(DT): , 0.9895522388059701
9 , Test Dataset Total Detection Rate(Hybrid): , 0.9895522388059701
9 , Test Dataset SSH Precision(RF): , 0.7741935483870968
9 , Test Dataset SSH Precision(DT): , 0.631578947368421
9 , Test Dataset SSH Precision(Hybrid): , 0.631578947368421
9 , Test Dataset SSH Recall(RF): , 1.0
9 , Test Dataset SSH Recall(DT): , 1.0
9 , Test Dataset SSH Recall(Hybrid): , 1.0
9 , Test Dataset False Positive Rate of total detection(RF): , 0.005319148936170213
9 , Test Dataset False Positive Rate of total detection(DT): , 0.010638297872340425
9 , Test Dataset False Positive Rate of total detection(Hybrid): , 0.010638297872340425
9 , Test Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
9 , Evaluation Total Detection Rate(RF): , 0.9703872437357631
9 , Evaluation Total Detection Rate(DT): , 0.958997722095672
9 , Evaluation Total Detection Rate(Hybrid): , 0.9578587699316629
9 , Evaluation SSH Precision(RF): , 0.38095238095238093
9 , Evaluation SSH Precision(DT): , 0.3076923076923077
9 , Evaluation SSH Precision(Hybrid): , 0.3018867924528302
9 , Evaluation SSH Recall(RF): , 1.0
9 , Evaluation SSH Recall(DT): , 1.0
9 , Evaluation SSH Recall(Hybrid): , 1.0
9 , Evaluation False Positive Rate of total detection(RF): , 0.030162412993039442
9 , Evaluation False Positive Rate of total detection(DT): , 0.04176334106728538
9 , Evaluation False Positive Rate of total detection(Hybrid): , 0.042923433874709975
9 , Evaluation True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
10 , Random Forest Model Accuracy Rate (n=100): , 0.9996510588183979
10 , Decision Tree Model Accuracy Rate (depth=4): , 0.9993675441083463
10 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.9067890868645454
10 , Evaluation Accuracy Rate of Compare DATA(RF): , 0.993934061863308
10 , Evaluation Accuracy Rate of Compare DATA(DT): , 0.995045378773847
10 , Evaluation Accuracy Rate of Compare DATA(Hybrid): , 0.7794962030005557
10 , Test Dataset Total Detection Rate(RF): , 0.9977611940298508
10 , Test Dataset Total Detection Rate(DT): , 0.994776119402985
10 , Test Dataset Total Detection Rate(Hybrid): , 0.994776119402985
10 , Test Dataset SSH Precision(RF): , 0.8846153846153846
10 , Test Dataset SSH Precision(DT): , 0.7666666666666667
10 , Test Dataset SSH Precision(Hybrid): , 0.7666666666666667
10 , Test Dataset SSH Recall(RF): , 1.0
10 , Test Dataset SSH Recall(DT): , 1.0
10 , Test Dataset SSH Recall(Hybrid): , 1.0
10 , Test Dataset False Positive Rate of total detection(RF): , 0.002277904328018223
10 , Test Dataset False Positive Rate of total detection(DT): , 0.005315110098709187
10 , Test Dataset False Positive Rate of total detection(Hybrid): , 0.005315110098709187
10 , Test Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
10 , Evaluation Total Detection Rate(RF): , 0.9749430523917996
10 , Evaluation Total Detection Rate(DT): , 0.9624145785876993
10 , Evaluation Total Detection Rate(Hybrid): , 0.9624145785876993
10 , Evaluation SSH Precision(RF): , 0.40625
10 , Evaluation SSH Precision(DT): , 0.32653061224489793
10 , Evaluation SSH Precision(Hybrid): , 0.32653061224489793
10 , Evaluation SSH Recall(RF): , 0.8125
10 , Evaluation SSH Recall(DT): , 1.0
10 , Evaluation SSH Recall(Hybrid): , 1.0
10 , Evaluation False Positive Rate of total detection(RF): , 0.022041763341067284
10 , Evaluation False Positive Rate of total detection(DT): , 0.0382830626450116
10 , Evaluation False Positive Rate of total detection(Hybrid): , 0.0382830626450116
10 , Evaluation True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.1875
11 , Random Forest Model Accuracy Rate (n=100): , 0.999498397051447
11 , Decision Tree Model Accuracy Rate (depth=4): , 0.9991058382221447
11 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.9068108956883956
11 , Evaluation Accuracy Rate of Compare DATA(RF): , 0.9939109094276718
11 , Evaluation Accuracy Rate of Compare DATA(DT): , 0.9946286349323948
11 , Evaluation Accuracy Rate of Compare DATA(Hybrid): , 0.7568531209483238
11 , Test Dataset Total Detection Rate(RF): , 0.9938931297709923
11 , Test Dataset Total Detection Rate(DT): , 0.9900763358778626
11 , Test Dataset Total Detection Rate(Hybrid): , 0.9900763358778626
11 , Test Dataset SSH Precision(RF): , 0.7241379310344828
11 , Test Dataset SSH Precision(DT): , 0.6176470588235294
11 , Test Dataset SSH Precision(Hybrid): , 0.6176470588235294
11 , Test Dataset SSH Recall(RF): , 1.0
11 , Test Dataset SSH Recall(DT): , 1.0
11 , Test Dataset SSH Recall(Hybrid): , 1.0
11 , Test Dataset False Positive Rate of total detection(RF): , 0.0062063615205585725
11 , Test Dataset False Positive Rate of total detection(DT): , 0.01008533747090768
11 , Test Dataset False Positive Rate of total detection(Hybrid): , 0.01008533747090768
11 , Test Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
11 , Evaluation Total Detection Rate(RF): , 0.9738041002277904
11 , Evaluation Total Detection Rate(DT): , 0.9567198177676538
11 , Evaluation Total Detection Rate(Hybrid): , 0.9567198177676538
11 , Evaluation SSH Precision(RF): , 0.3939393939393939
11 , Evaluation SSH Precision(DT): , 0.2962962962962963
11 , Evaluation SSH Precision(Hybrid): , 0.2962962962962963
11 , Evaluation SSH Recall(RF): , 0.8125
11 , Evaluation SSH Recall(DT): , 1.0
11 , Evaluation SSH Recall(Hybrid): , 1.0
11 , Evaluation False Positive Rate of total detection(RF): , 0.02320185614849188
11 , Evaluation False Positive Rate of total detection(DT): , 0.04408352668213457
11 , Evaluation False Positive Rate of total detection(Hybrid): , 0.04408352668213457
11 , Evaluation True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.1875
12 , Random Forest Model Accuracy Rate (n=100): , 0.9996510588183979
12 , Decision Tree Model Accuracy Rate (depth=4): , 0.9991276470459948
12 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.9304734695657864
12 , Evaluation Accuracy Rate of Compare DATA(RF): , 0.9946980922393036
12 , Evaluation Accuracy Rate of Compare DATA(DT): , 0.9951842933876643
12 , Evaluation Accuracy Rate of Compare DATA(Hybrid): , 0.7975087979255417
12 , Test Dataset Total Detection Rate(RF): , 0.9962406015037594
12 , Test Dataset Total Detection Rate(DT): , 0.9939849624060151
12 , Test Dataset Total Detection Rate(Hybrid): , 0.9947368421052631
12 , Test Dataset SSH Precision(RF): , 0.8214285714285714
12 , Test Dataset SSH Precision(DT): , 0.7586206896551724
12 , Test Dataset SSH Precision(Hybrid): , 0.7666666666666667
12 , Test Dataset SSH Recall(RF): , 1.0
12 , Test Dataset SSH Recall(DT): , 0.9565217391304348
12 , Test Dataset SSH Recall(Hybrid): , 1.0
12 , Test Dataset False Positive Rate of total detection(RF): , 0.0038255547054322878
12 , Test Dataset False Positive Rate of total detection(DT): , 0.005355776587605203
12 , Test Dataset False Positive Rate of total detection(Hybrid): , 0.005355776587605203
12 , Test Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
12 , Evaluation Total Detection Rate(RF): , 0.9738041002277904
12 , Evaluation Total Detection Rate(DT): , 0.9669703872437357
12 , Evaluation Total Detection Rate(Hybrid): , 0.9669703872437357
12 , Evaluation SSH Precision(RF): , 0.41025641025641024
12 , Evaluation SSH Precision(DT): , 0.35555555555555557
12 , Evaluation SSH Precision(Hybrid): , 0.35555555555555557
12 , Evaluation SSH Recall(RF): , 1.0
12 , Evaluation SSH Recall(DT): , 1.0
12 , Evaluation SSH Recall(Hybrid): , 1.0
12 , Evaluation False Positive Rate of total detection(RF): , 0.02668213457076566
12 , Evaluation False Positive Rate of total detection(DT): , 0.033642691415313224
12 , Evaluation False Positive Rate of total detection(Hybrid): , 0.033642691415313224
12 , Evaluation True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
13 , Random Forest Model Accuracy Rate (n=100): , 0.9995638235229974
13 , Decision Tree Model Accuracy Rate (depth=4): , 0.9991058382221447
13 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.8804004100058884
13 , Evaluation Accuracy Rate of Compare DATA(RF): , 0.9938877569920356
13 , Evaluation Accuracy Rate of Compare DATA(DT): , 0.9950916836451195
13 , Evaluation Accuracy Rate of Compare DATA(Hybrid): , 0.780839044267457
13 , Test Dataset Total Detection Rate(RF): , 0.9954785229841748
13 , Test Dataset Total Detection Rate(DT): , 0.9932177844762623
13 , Test Dataset Total Detection Rate(Hybrid): , 0.9932177844762623
13 , Test Dataset SSH Precision(RF): , 0.7931034482758621
13 , Test Dataset SSH Precision(DT): , 0.71875
13 , Test Dataset SSH Precision(Hybrid): , 0.71875
13 , Test Dataset SSH Recall(RF): , 1.0
13 , Test Dataset SSH Recall(DT): , 1.0
13 , Test Dataset SSH Recall(Hybrid): , 1.0
13 , Test Dataset False Positive Rate of total detection(RF): , 0.004601226993865031
13 , Test Dataset False Positive Rate of total detection(DT): , 0.006901840490797546
13 , Test Dataset False Positive Rate of total detection(Hybrid): , 0.006901840490797546
13 , Test Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
13 , Evaluation Total Detection Rate(RF): , 0.9715261958997722
13 , Evaluation Total Detection Rate(DT): , 0.9635535307517085
13 , Evaluation Total Detection Rate(Hybrid): , 0.9635535307517085
13 , Evaluation SSH Precision(RF): , 0.37142857142857144
13 , Evaluation SSH Precision(DT): , 0.3333333333333333
13 , Evaluation SSH Precision(Hybrid): , 0.3333333333333333
13 , Evaluation SSH Recall(RF): , 0.8125
13 , Evaluation SSH Recall(DT): , 1.0
13 , Evaluation SSH Recall(Hybrid): , 1.0
13 , Evaluation False Positive Rate of total detection(RF): , 0.025522041763341066
13 , Evaluation False Positive Rate of total detection(DT): , 0.037122969837587005
13 , Evaluation False Positive Rate of total detection(Hybrid): , 0.037122969837587005
13 , Evaluation True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.1875
14 , Random Forest Model Accuracy Rate (n=100): , 0.9998037205853488
14 , Decision Tree Model Accuracy Rate (depth=4): , 0.9993893529321963
14 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.8481015418838462
14 , Evaluation Accuracy Rate of Compare DATA(RF): , 0.9940035191702167
14 , Evaluation Accuracy Rate of Compare DATA(DT): , 0.9947675495462123
14 , Evaluation Accuracy Rate of Compare DATA(Hybrid): , 0.762942211520652
14 , Test Dataset Total Detection Rate(RF): , 0.9969924812030075
